Title,imdbRating,imdbVotes,Metascore,Runtime,Year,Genre1,Genre2,Rated,Director,Actors1,Actors2,Country,Writer,Awards,Released,imdbID,Plot,Poster
13 Moons,5.9,1071,N/A,93,2002,Comedy,Comedy,R,Alexandre Rockwell,Jennifer Beals,Elizabeth Bracco,USA,"Brandon Cole, Alexandre Rockwell",N/A,1-Jan-02,tt0276744,Can you solve the mystery of the 13 moons?,http://ia.media-imdb.com/images/M/MV5BMTQ3MjEyNjIxNl5BMl5BanBnXkFtZTcwNzk3NzUyMQ@@._V1_SX300.jpg
Eleni,6.8,1000,N/A,114,1985,Drama,War,PG,Peter Yates,Kate Nelligan,John Malkovich,USA,"Nicholas Gage (book), Steve Tesich (screenplay)",N/A,21-Dec-85,tt0089079,Nick is a writer in New York when he gets posted to a bureau in Greece. He has waited 30 years for this. He wants to know why his mother was killed in the civil war years earlier. In a ...,http://ia.media-imdb.com/images/M/MV5BMTQ2MzcyNzcyOV5BMl5BanBnXkFtZTYwMzA3Mjg5._V1_SX300.jpg
Sneakers,7.1,44445,N/A,126,1992,Comedy,Crime,PG-13,Phil Alden Robinson,Jo Marr,Gary Hershberger,USA,"Phil Alden Robinson, Lawrence Lasker, Walter F. Parkes",2 nominations.,11-Sep-92,tt0105435,"A security pro finds his past coming back to haunt him, when he and his unique team are tasked with retrieving a particularly important item.",https://images-na.ssl-images-amazon.com/images/M/MV5BYWM2OWI0OTAtYTVlOC00YTA0LTllMTItNWM5OTIwZDJlYWFmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Confirmation,6.9,2726,N/A,110,2016,Drama,History,N/A,Rick Famuyiwa,Kerry Washington,Wendell Pierce,USA,Susannah Grant,Nominated for 2 Primetime Emmys. Another 3 nominations.,16-Apr-16,tt4608402,"Judge Clarence Thomas' nomination to the United States' Supreme Court is called into question when former colleague, Anita Hill, testifies that he had sexually harassed her.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MjMwMDkyMF5BMl5BanBnXkFtZTgwNjA4MTY2ODE@._V1_SX300.jpg
Sniper: Legacy,5.3,2215,N/A,95,2014,Action,Thriller,R,Don Michael Paul,Doug Allen,Asen Asenov,Bulgaria,"Michael Frost Beckner (based on the characters created by), John Fasano (screenplay), John Fasano (story), Don Michael Paul (screenplay)",N/A,30-Sep-14,tt3776288,"A rogue assassin is taking out military leaders, and Brandon gets word that his father is one. He tries to track down the killer, finds out that his father isn't dead and realizes that his superior officers are using him as bait to track the killer.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTM5ODMzMzc3Ml5BMl5BanBnXkFtZTgwMTc1MDMzMjE@._V1_SX300.jpg
Jaws 2,5.7,52626,N/A,116,1978,Adventure,Horror,PG,Jeannot Szwarc,Roy Scheider,Lorraine Gary,USA,"Peter Benchley (characters created by), Carl Gottlieb, Howard Sackler",N/A,16-Jun-78,tt0077766,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,https://images-na.ssl-images-amazon.com/images/M/MV5BN2U1MWE1NTMtYjQ2ZC00MTFmLWFmYjItODMyNGYxOTAyZmEzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Kiss the Bride,5.7,1370,N/A,100,2007,Comedy,Romance,R,C. Jay Cox,Tori Spelling,Philipp Karner,USA,Tyler Lieberman,N/A,23-Jul-07,tt0893346,"In high school, Matt and Ryan were best friends. More than friends, actually. But in the ensuing ten years, they've lost contact. So when Matt receives an invitation to Ryan's wedding he's ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1ODgwODU4M15BMl5BanBnXkFtZTcwOTY0ODU2MQ@@._V1_SX300.jpg
The Alamo,6,16947,47,137,2004,Drama,History,PG-13,John Lee Hancock,Dennis Quaid,Billy Bob Thornton,USA,"Leslie Bohem, Stephen Gaghan, John Lee Hancock",1 nomination.,9-Apr-04,tt0318974,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzOTQ5Nzg4MzheQTJeQWpwZ15BbWU2MDQwODAxNw@@._V1_SX300.jpg
Barbie in 'A Christmas Carol',6.3,1090,N/A,76,2008,Animation,Family,N/A,William Lau,Kelly Sheridan,Morwenna Banks,USA,"Elise Allen, Charles Dickens (based on the story by)",N/A,4-Nov-08,tt1314715,"Barbie stars in her first holiday movie in this heart-warming adaptation of the classic Dickens story filled with cherished Christmas carols, fabulous fashions and lots of laughs!",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0ODEzMTcwM15BMl5BanBnXkFtZTgwNzM5MjA2MDE@._V1_SX300.jpg
Bruno,6.2,1196,N/A,108,2000,Comedy,Drama,PG-13,Shirley MacLaine,Alex D. Linz,Shirley MacLaine,USA,David Ciminello,N/A,16-Apr-00,tt0123003,"Bruno is the story of a unique young boy genius, Bruno (Alex D. Linz), whose expression of his own individuality leads his family and community along an emotional journey. By the time he ...",http://ia.media-imdb.com/images/M/MV5BMTIyMjcxNjU5OV5BMl5BanBnXkFtZTcwODA4MzIyMQ@@._V1_SX300.jpg
Daisy Kenyon,6.7,1427,N/A,99,1947,Drama,Romance,APPROVED,Otto Preminger,Joan Crawford,Dana Andrews,USA,"David Hertz (screenplay), Elizabeth Janeway (novel)",N/A,25-Dec-47,tt0039294,"Commercial artist Daisy Kenyon is involved with married lawyer Dan O'Mara, and hopes someday to marry him, if he ever divorces his wife Lucille. She meets returning veteran Peter, a decent ...",http://ia.media-imdb.com/images/M/MV5BMTc5ODQyMDI2Ml5BMl5BanBnXkFtZTcwNTcwMjE2MQ@@._V1_SX300.jpg
Kung Fury,8.1,39514,N/A,31,2015,Short,Action,NOT RATED,David Sandberg,David Sandberg,Jorma Taccone,Sweden,David Sandberg,2 wins & 4 nominations.,28-May-15,tt3472226,"In 1985, Kung Fury, the toughest martial artist cop in Miami, goes back in time to kill the worst criminal of all time - kung fuhrer Hitler.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMjU2ODU5NF5BMl5BanBnXkFtZTgwNTU1NjM4NTE@._V1_SX300.jpg
Under the Skin,6.3,87841,78,108,2013,Drama,Horror,R,Jonathan Glazer,Scarlett Johansson,Jeremy McWilliams,UK,"Walter Campbell, Jonathan Glazer, Michel Faber (based on the novel by)",Nominated for 1 BAFTA Film Award. Another 23 wins & 94 nominations.,14-Mar-14,tt1441395,A mysterious woman seduces lonely men in the evening hours in Scotland. Events lead her to begin a process of self-discovery.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MDEwMDg4Nl5BMl5BanBnXkFtZTgwOTk3NTcxMTE@._V1_SX300.jpg
Win Win,7.2,48892,75,106,2011,Comedy,Drama,R,Tom McCarthy,Paul Giamatti,Amy Ryan,USA,"Tom McCarthy (screenplay), Tom McCarthy (story), Joe Tiboni (story)",5 wins & 22 nominations.,15-Apr-11,tt1606392,A struggling lawyer and volunteer wrestling coach's chicanery comes back to haunt him when the teenage grandson of the client he has double-crossed comes into his life.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNTgzNjY4OF5BMl5BanBnXkFtZTcwMTcwMjI0NA@@._V1_SX300.jpg
Kurt Cobain About a Son,7.4,3082,69,96,2006,Documentary,Music,N/A,AJ Schnack,Kurt Cobain,Kurt Cobain,USA,N/A,2 nominations.,3-Oct-07,tt0790769,"In this visual essay style documentary, intimate audio of journalist Michael Azerrad's interviews with Kurt Cobain is played over more recently photographed footage of Cobain's Washington state homes and haunts.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMzA0MjU0M15BMl5BanBnXkFtZTcwMDI3MDU1MQ@@._V1_SX300.jpg
The Son of Kong,5.8,2639,N/A,70,1933,Adventure,Comedy,PASSED,Ernest B. Schoedsack,Robert Armstrong,Helen Mack,USA,Ruth Rose (story),3 nominations.,22-Dec-33,tt0024593,"The men who captured the giant ape King Kong, return to his island and find his equally gigantic, but far more friendly, son.","http://ia.media-imdb.com/images/M/MV5BMTcxNjY2ODEwN15BMl5BanBnXkFtZTgwNTI2OTE4MzE@._V1._CR52,50,1272,1948_SX89_AL_.jpg_V1_SX300.jpg"
Yellow Rock,4.6,375,N/A,89,2011,Western,Western,R,Nick Vallelonga,Michael Biehn,James Russo,USA,"Lenore Andriel, Steve Doucette",1 win & 1 nomination.,1-Nov-11,tt1714176,"Five men ride into the eerie town of Yellow Rock, hoping to rescue a family member and his lost boy.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMzcwMDU5M15BMl5BanBnXkFtZTcwMzU2MTEzOA@@._V1_SX300.jpg
Private Number,4.7,801,N/A,95,2014,Horror,Mystery,R,LazRael Lison,Judd Nelson,Tom Sizemore,USA,LazRael Lison,N/A,1-May-15,tt3103412,"A series of cryptic phone messages and visions haunt a writer while he struggles to finish a novel. As they increase in intensity, he loses his grip on reality, eventually obsessing over an...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3NjU3MjU4MF5BMl5BanBnXkFtZTgwMjY4OTYzNTE@._V1_SX300.jpg
Zeus and Roxanne,5.2,2296,N/A,98,1997,Adventure,Comedy,PG,George Miller,Steve Guttenberg,Kathleen Quinlan,USA,Tom Benedek,N/A,24-Jan-97,tt0120550,Mary Beth is a marine biologist that gets annoyed when a dog called Zeus stows aboard her research boat. Nevertheless she is intrigued when the intrusive canine makes best-friends with her ...,https://images-na.ssl-images-amazon.com/images/M/MV5BNzE0NDg4NzkzMV5BMl5BanBnXkFtZTcwMzYzOTAwMQ@@._V1_SX300.jpg
Hot Girls Wanted,6.1,8755,N/A,84,2015,Documentary,Documentary,N/A,Jill Bauer,Farrah Abraham,John Anthony,USA,Brittany Huckabee,Nominated for 1 Primetime Emmy. Another 1 nomination.,29-May-15,tt4382552,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMjU5NjAwN15BMl5BanBnXkFtZTgwOTM1MTc4NTE@._V1_SX300.jpg
Willie Dynamite,6.3,631,N/A,102,1974,Crime,Drama,R,Gilbert Moses,Roscoe Orman,Diana Sands,USA,"Ron Cutler (screenplay), Ron Cutler (story), Joe Keyes Jr. (story)",N/A,23-Jan-74,tt0072409,A social worker tries to get a pimp to change his ways.,N/A
Zack and Miri Make a Porno,6.6,151672,56,101,2008,Comedy,Romance,R,Kevin Smith,Elizabeth Banks,Seth Rogen,USA,Kevin Smith,2 wins & 4 nominations.,31-Oct-08,tt1007028,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",https://images-na.ssl-images-amazon.com/images/M/MV5BYTIyMDJmMDEtMmNjYS00YzZlLThjMDYtZDNjOWM3NDJiNWM2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Operation: Endgame,4.9,9091,N/A,87,2010,Action,Comedy,R,Fouad Mikati,Joe Anderson,Rob Corddry,USA,"Sam Levinson (screenplay), Brian Watanabe (earlier screenplay)",N/A,19-May-12,tt1268987,A battle ensues among groups of government spy teams in an underground facility after their boss is assassinated.,http://ia.media-imdb.com/images/M/MV5BMTgzNzYyNDc3M15BMl5BanBnXkFtZTcwNzA5MDA2Mw@@._V1_SX300.jpg
Silent House,5.3,18662,49,86,2011,Drama,Horror,R,Chris Kentis,Elizabeth Olsen,Adam Trese,France,"Gustavo HernÌÁndez (film ""La casa muda""), Laura Lau (screenplay), Oscar EstÌ©vez (original screen play)",1 win & 2 nominations.,9-Mar-12,tt1767382,A girl is trapped inside her family's lakeside retreat and becomes unable to contact the outside world as supernatural forces haunt the house with mysterious energy and consequences.,N/A
Win a Date with Tad Hamilton!,5.6,22878,52,95,2004,Comedy,Romance,PG-13,Robert Luketic,Kate Bosworth,Topher Grace,USA,Victor Levin,8 nominations.,23-Jan-04,tt0335559,"A small-town girl wins a date with a male celebrity through a contest. When the date goes better than expected, a love triangle forms between the girl, the male celebrity, and the girl's best friend.",http://ia.media-imdb.com/images/M/MV5BMTM0ODcyNjA4NF5BMl5BanBnXkFtZTcwMjM3NjQyMQ@@._V1_SX300.jpg
Uninhabited,4.4,2312,N/A,93,2010,Horror,Thriller,N/A,Bill Bennett,Geraldine Hakewill,Henry James,Australia,Bill Bennett,N/A,22-Jun-11,tt1459013,"A young couple go to a remote and deserted coral island for a camping holiday, only to find that the island is inhabited by a ghost seeking retribution for a past outrage.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NjIyNTgxNF5BMl5BanBnXkFtZTcwODE4Njc3Mw@@._V1_SX300.jpg
Barbie: The Pearl Princess,6.2,399,N/A,73,2014,Animation,Family,N/A,Ezekiel Norton,Kelly Sheridan,Katie Crown,N/A,"Cydne Clark, Steve Granat",N/A,5-Mar-14,tt3504064,This is the tale of a young mermaid who is being raised by her aunt. This young mermaid has the power to control pearls and make beautiful magic with them. One day her Aunt is called upon ...,http://ia.media-imdb.com/images/M/MV5BODQ4MzU5NDQ5M15BMl5BanBnXkFtZTgwNTY1NjAzMTE@._V1_SX300.jpg
Dakota Skye,6.6,2903,N/A,89,2008,Drama,Romance,R,John Humber,Scott F. Anderson,Matt Baker,USA,Chad J. Shonk,2 wins.,14-Mar-08,tt0907848,"For as long as she could remember, Dakota Skye has been cursed with a super power. She has the ability to see the truth in any lie she hears. From small, harmless white lies, to the more ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MzYwODU0OF5BMl5BanBnXkFtZTcwMjUzMjY2MQ@@._V1_SX300.jpg
Angel in Exile,6.3,65,N/A,90,1948,Drama,Romance,APPROVED,Allan Dwan,John Carroll,Adele Mara,USA,Charles Larson (original screenplay),N/A,3-Sep-48,tt0040094,An ex-convict on his way to make his fortune in a gold mine in Arizona has his trip interrupted when the residents of a small Mexican village believe him to be a sacred religious figure.,N/A
Meet Me in St Louis,N/A,N/A,N/A,3,2013,Short,Comedy,N/A,Max Dufrechou,Jesse Brown,Rose Curry,USA,Max Dufrechou,N/A,N/A,tt3352232,"On the last night before college departures, a young couple are haunted by the ghost of a Judy Garland impersonator in an old stage theater.",N/A
The Song,6,1479,42,116,2014,Drama,Music,PG-13,Richard Ramsey,Alan Powell,Ali Faulkner,USA,"Richard Ramsey, Richard Ramsey",N/A,26-Sep-14,tt2517044,An aspiring singer-songwriter's life and marriage suffer when the song he writes for his wife propels him to stardom.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTE2NjgxMTAxNl5BMl5BanBnXkFtZTgwMzg3NDc0MjE@._V1_SX300.jpg
White Lion,6.7,677,N/A,88,2010,Drama,Family,PG,Michael Swan,Jamie Bartlett,John Kani,South Africa,"Ivan Milborrow, Michael Swan, Janet van Eeden",1 win.,19-Feb-10,tt1618421,"According to the legend of the Shangaan, white lions are the messengers of the gods, but it has been years since one has been seen in their remote African valley. When a white lion is ...",http://ia.media-imdb.com/images/M/MV5BMTcwMTAyMzg5OV5BMl5BanBnXkFtZTcwMjgxODc1NA@@._V1_SX300.jpg
In the Good Old Summertime,7.2,2498,N/A,102,1949,Comedy,Musical,APPROVED,Robert Z. Leonard,Judy Garland,Van Johnson,USA,"Albert Hackett (written for the screen by), Frances Goodrich (written for the screen by), Ivan Tors (written for the screen by), Samson Raphaelson (screenplay), MiklÌ_s LÌÁszlÌ_ (play)",1 nomination.,29-Jul-49,tt0041507,"Musical remake of 1940 ""Shop Around the Corner"" by Lubitch.",http://ia.media-imdb.com/images/M/MV5BMjM3NjMwNjEzN15BMl5BanBnXkFtZTgwMzQ0OTgxMTE@._V1_SX300.jpg
Flatland,7.1,827,N/A,95,2007,Animation,Fantasy,N/A,Ladd Ehlinger Jr.,Ashley Blackwell,Chris Carter,USA,"Edwin A. Abbott (original novel), Tom Whalen (screenplay)",N/A,14-Jan-07,tt0972374,"Flatland is a two-dimensional universe occupied by living geometric figures - squares, triangles, circles, etc. A Square, Attorney At Law, finds himself in the middle of two upheavals: the ...",http://ia.media-imdb.com/images/M/MV5BMTI2MzE3MzEyNl5BMl5BanBnXkFtZTcwNTE2MjQ0MQ@@._V1_SX300.jpg
Confessions of an American Bride,5.1,996,N/A,90,2005,Comedy,Romance,N/A,Douglas Barr,Shannon Elizabeth,Eddie McClintock,USA,"Edward Kitsis, Adam Horowitz",N/A,9-May-05,tt0445945,"Sam (Shannon Elizabeth), a soon-to-be bride, faces a dilemma when an old college crush comes back into her life... Who will she choose?",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyNTkyOTkxN15BMl5BanBnXkFtZTcwMDIzMTkyMQ@@._V1_SX300.jpg
Inside the Perfect Predator,7.6,24,N/A,60,2010,Documentary,Documentary,N/A,Mark Brownlow,N/A,N/A,UK,N/A,1 nomination.,25-Mar-10,tt1729606,"Four top predators are compared, each champion in a type of environment, with key adaptations. On the ground, the cheetah outruns prey (approached in masterly stealth) and enemies. In the ...",N/A
American Ninja 4: The Annihilation,3.7,3436,N/A,99,1990,Action,Drama,R,Cedric Sundstrom,Michael Dudikoff,David Bradley,USA,"Gideon Amir (based on characters created by), James Booth, Avi Kleinberger (based on characters created by)",N/A,8-Mar-91,tt0101326,"The two American Ninjas, Joe Armstrong and Sean Davidson, team up to do battle against a terrorist and his band of Ninjas.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MzQ0Mzg2Ml5BMl5BanBnXkFtZTcwNDY0MTEzMQ@@._V1_SX300.jpg
Operation Dumbo Drop,4.9,6989,N/A,107,1995,Action,Adventure,PG,Simon Wincer,Danny Glover,Ray Liotta,USA,"James Morris (story), Gene Quintano, Jim Kouf",N/A,28-Jul-95,tt0114048,"To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTU2NzQyNDQ0NV5BMl5BanBnXkFtZTcwNTk4NjIyMQ@@._V1_SX300.jpg
Barbie: The Princess & the Popstar,5.6,894,N/A,86,2012,Animation,Family,N/A,Ezekiel Norton,Kelly Sheridan,Jennifer Waris,USA,"Steve Granat, Cydne Clark",N/A,11-Sep-12,tt2396690,"In this sparkling musical adventure, Barbie(TM) stars as Tory(TM), the kind-hearted princess of Meribella who would rather sing and dance than perform her royal duties. When her favorite ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3OTcwODM3MF5BMl5BanBnXkFtZTcwMzI3MTcxOQ@@._V1_SX300.jpg
The Spectacular Now,7.1,107700,82,95,2013,Comedy,Drama,R,James Ponsoldt,Miles Teller,Shailene Woodley,USA,"Scott Neustadter (screenplay), Michael H. Weber (screenplay), Tim Tharp (novel)",10 wins & 30 nominations.,13-Sep-13,tt1714206,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5MTc0NTkzM15BMl5BanBnXkFtZTcwODEwNjE3OQ@@._V1_SX300.jpg
Jack Goes Boating,6.4,7022,64,89,2010,Drama,Romance,R,Philip Seymour Hoffman,Philip Seymour Hoffman,John Ortiz,USA,"Robert Glaudini (screenplay), Robert Glaudini (play)",1 win & 7 nominations.,29-Dec-10,tt1278379,"A limo driver's blind date sparks a tale of love, betrayal, friendship, and grace centered around two working-class New York City couples.",https://images-na.ssl-images-amazon.com/images/M/MV5BODQ1ODEyMDkyOF5BMl5BanBnXkFtZTcwMzQ0NTYzNg@@._V1_SX300.jpg
Flight of Black Angel,5.7,438,N/A,115,1991,Action,Thriller,R,Jonathan Mostow,Peter Strauss,William O'Leary,USA,"John Brancato (story), Michael Ferris (story), Jonathan Mostow (story), John Brancato (screenplay), Michael Ferris (screenplay)",1 nomination.,23-Feb-91,tt0101897,A US Air Force pilot steals a nuclear bomb and sets off on what he believes is a divine mission against an American city.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MjA3ODkxM15BMl5BanBnXkFtZTcwMDcwMjEzMQ@@._V1_SX300.jpg
Mega Shark vs. Giant Octopus,2.5,9224,N/A,88,2009,Horror,Sci-Fi,R,Jack Perez,Deborah Gibson,Lorenzo Lamas,USA,Jack Perez (screenplay),N/A,26-May-09,tt1350498,The California coast is terrorized by two enormous prehistoric sea creatures as they battle each other for supremacy of the sea.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5MDk1NzAyM15BMl5BanBnXkFtZTcwNjU4NTU1Mg@@._V1_SX300.jpg
"Silent Night, Deadly Night",5.9,9234,N/A,79,1984,Horror,Thriller,R,Charles E. Sellier Jr.,Lilyan Chauvin,Gilmer McCormick,USA,"Paul Caimi (story), Michael Hickey",N/A,9-Nov-84,tt0088117,"After his parents are murdered, a tormented teenager goes on a murderous rampage dressed as Santa, due to his stay at an orphanage where he was abused by the Mother Superior.",https://images-na.ssl-images-amazon.com/images/M/MV5BZGQxYWQ1N2ItMDUyYi00Y2Y4LWE2Y2ItZjZjZjMxY2IxNTlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Hot Fuzz,7.9,356772,81,121,2007,Action,Comedy,R,Edgar Wright,Simon Pegg,Martin Freeman,UK,"Edgar Wright, Simon Pegg",2 wins & 8 nominations.,20-Apr-07,tt0425112,"Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat, Nicholas suspects a sinister conspiracy is afoot with the residents.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxODg2NDU1MF5BMl5BanBnXkFtZTcwOTc3MDM0MQ@@._V1_SX300.jpg
