,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Rated,Language,Country,Director,Year,Genre,Runtime,imdbVotes,Actors1,Actors2,Words,DiversityW,Verb/Noun,Zipf,WordL,imdbRating
Meet the Fockers,0.363323155,0.744311296,0.103125683,0.688191933,0.339031698,0.159096901,0.128866906,0.559113296,0.219279707,0.61374578,0.87699107,0.098818679,0.556642187,0.189875363,0.580752011,0.867196733,0.842983378,0.92071559,0.780388399,0.538000371,0.661216931,0.825269722,0.705632093,0.110118148,0.590292176,0.262773734,0.290111801,0.200361533,0.7782227,0.314076176,PG-13,"English, Spanish, Hebrew",USA,Jay Roach,2004,"Comedy, Romance",115,212060,Robert De Niro, Ben Stiller,15316,0.170801776,1.470321018,0.865801603,,6.3
Angels Sing,0.740907614,0.923031464,0.021898219,0.855841354,0.462036795,0.22505149,0.292701106,0.870298399,0.183687717,0.886316115,0.970782705,0.032652497,0.633619013,0.082033912,0.4175881,0.81363084,0.959656796,0.955498829,0.835244259,0.521563148,0.574062165,0.971254347,0.542623475,0.041434492,0.643269994,0.072780379,0.041304881,0.463659442,0.938330719,0.090002391,PG,English,USA,Tim McCanlies,2013,"Comedy, Drama, Family",87,1381,Harry Connick Jr., Connie Britton,6889,0.210915953,1.59502924,0.874933426,,5.8
Private Parts,0.342040188,0.501177995,0.065347212,0.580434283,0.350492523,0.357857634,0.24599506,0.62134546,0.473816686,0.387713057,0.798330015,0.161466137,0.636031842,0.153900381,0.606579006,0.799608041,0.889273455,0.789597744,0.73681879,0.713155002,0.704701399,0.892318943,0.839781636,0.358378103,0.564801181,0.264233858,0.337799295,0.235172262,0.835288516,0.379081883,R,English,USA,Betty Thomas,1997,"Biography, Comedy, Drama",109,29399,Howard Stern, Robin Quivers,16366,0.160821215,1.419364079,0.8779739,,6.8
Private Number,0.499284687,0.615535189,0.129512546,0.506689967,0.306351651,0.163555414,0.170931184,0.487204952,0.216229738,0.574242281,0.931421314,0.142173219,0.725963584,0.276523223,0.437596763,0.852910047,0.743602918,0.97599746,0.826855991,0.595533814,0.513107372,0.786926448,0.753227888,0.113575064,0.372329211,0.439415781,0.22540116,0.094483983,0.721101888,0.132695279,R,English,USA,LazRael Lison,2014,"Horror, Mystery, Thriller",95,801,Judd Nelson, Tom Sizemore,6376,0.203732748,1.216423104,0.900449752,,4.7
Eat a Bowl of Tea,0.424632087,0.547292953,0.012512193,0.706941784,0.516477645,0.39007504,0.381972454,0.843029631,0.314720491,0.494691226,0.934099628,0.034220821,0.40132332,0.04779074,0.433629127,0.649107868,0.952968563,0.836090526,0.768881115,0.901561419,0.783095421,0.940031619,0.754397959,0.074900332,0.276037621,0.101364291,0.174513963,0.163976873,0.846373461,0.041848431,PG-13,"English, Mandarin",USA,Wayne Wang,1989,"Drama, Romance",102,530,Cora Miao, Russell Wong,4724,0.253598645,1.345167653,0.90065823,,6.4
Jason Lives: Friday the 13th Part VI,0.261219066,0.334356296,0.05866388,0.813395577,0.271264091,0.316722783,0.141021339,0.728316042,0.423849209,0.425555584,0.891396471,0.053798388,0.350044817,0.079079738,0.456885466,0.402697324,0.768076631,0.922510385,0.442019198,0.726926418,0.67898743,0.848469962,0.668422706,0.145381961,0.224714675,0.288943595,0.297129898,0.031699892,0.736856027,0.018536316,R,English,USA,Tom McLoughlin,1986,"Horror, Thriller",86,25619,Thom Mathews, Jennifer Cooke,4011,0.268511593,1.239651416,0.844966224,,5.9
Corporate,0.556523832,0.631780665,0.103213912,0.565932444,0.777414452,0.85628981,0.839055205,0.766439428,0.242629237,0.669482214,0.834696573,0.089610314,0.483755165,0.087495898,0.146483089,0.950487445,0.861678123,0.369969493,0.841649224,0.942765443,0.793775184,0.547431056,0.966896093,0.215098786,0.45892312,0.271183914,0.31299043,0.649737915,0.458677393,0.552187833,N/A,Hindi,India,Madhur Bhandarkar,2006,Drama,142,1489,Bipasha Basu, Kay Kay Menon,11941,0.198140859,1.568659794,0.915639987,,6.5
Eating Out,0.210890697,0.6369732,0.186037044,0.510750315,0.095639262,0.042306652,0.043632844,0.30874489,0.316379573,0.368241609,0.765005424,0.232332749,0.454916716,0.451619668,0.640047794,0.540931927,0.589151536,0.968305042,0.590634192,0.411691879,0.485980482,0.771620888,0.451483615,0.060408239,0.451404989,0.474593863,0.350507846,0.049654241,0.713604261,0.183390796,UNRATED,English,USA,Q. Allan Brocka,2004,"Comedy, Drama, Romance",90,5041,Rebekah Kochan, Scott Lunsford,6635,0.223813112,1.325581395,0.862206254,,5.9
Winchester 73,0.407994365,0.660657197,0.026098945,0.91267538,0.396648023,0.328889414,0.212092801,0.793608397,0.149458087,0.78918877,0.978436082,0.003684063,0.318695817,0.014582172,0.389732993,0.575474847,0.809830929,0.779586754,0.458351265,0.749142309,0.844970828,0.785408179,0.840047024,0.050397408,0.346359578,0.090279858,0.068844877,0.108205554,0.683547207,0.054702761,N/A,English,USA,Herschel Daugherty,1967,Western,97,131,Tom Tryon, John Saxon,7459,0.194396032,1.314556962,0.883711365,,6
C.O.G.,0.475220255,0.744812928,0.059992948,0.678350466,0.369080172,0.218760071,0.319046274,0.676429608,0.248742752,0.679850979,0.962815408,0.03780472,0.579540583,0.159031355,0.435026168,0.763133775,0.820394811,0.968151908,0.768820204,0.681264776,0.829097321,0.856665563,0.734286592,0.052168827,0.489203153,0.229778923,0.107412348,0.177936677,0.827034395,0.073755064,N/A,English,USA,Loren Small,2013,Drama,88,15,Austin Bentley,Marshall Fogg,7404,0.197730956,1.273573201,0.8929246,,5.6
C.r.a.z.y,0.461539759,0.537024932,0.180087544,0.590728768,0.182810389,0.175665173,0.075501467,0.27494434,0.269362233,0.442213537,0.859949765,0.201455575,0.758009192,0.312390059,0.637735713,0.883353044,0.583352202,0.951646099,0.881961258,0.632577204,0.200880342,0.568658408,0.752846407,0.243071176,0.419918503,0.559578612,0.370755522,0.059320039,0.523530051,0.04613961,N/A,German,Germany,Hans-Christian Schmid,2005,Drama,75,3254,Robert Stadlober, Tom Schilling,5300,0.278679245,1.184232365,0.875589034,,2.9
Cabaret,0.262478257,0.571886514,0.281921309,0.694197282,0.258234161,0.320236355,0.29701276,0.405905356,0.435558505,0.299437433,0.815489101,0.340445689,0.72619267,0.479252666,0.403053402,0.901588142,0.604725364,0.753999844,0.686830717,0.514942993,0.525091532,0.49256155,0.929736854,0.474152271,0.908153296,0.450449382,0.624082328,0.163713261,0.547819905,0.535909037,PG,English,USA,Bob Fosse,1972,Drama,124,36983,Liza Minnelli, Michael York,7768,0.229145211,1.507334963,0.909048159,,7.9
Cabaret Desire,0.626933107,0.764453209,0.445505157,0.270390885,0.206359284,0.166150001,0.136643282,0.196487849,0.101968735,0.841755687,0.745546616,0.396515504,0.899823654,0.437100632,0.751403527,0.983108721,0.342328078,0.68668072,0.906824028,0.648357609,0.118223518,0.19713786,0.975899605,0.334931613,0.806530512,0.498533016,0.267679111,0.321183251,0.21890395,0.879719243,N/A,English,Spain,Erika Lust,2011,Adult,75,238,Toni Fontana, Sofia Prada,2534,0.374901342,1.123529412,0.865923875,,4.6
Cabin in the sky,0.438195428,0.615381023,0.050447031,0.823145335,0.345726682,0.330787959,0.210778822,0.66524526,0.346786651,0.615073698,0.954635178,0.054315987,0.756763183,0.077056987,0.45691289,0.857282422,0.850645312,0.881672401,0.810707456,0.690698169,0.606358028,0.847594,0.806763957,0.267835598,0.616278071,0.214648173,0.212470236,0.16918573,0.884281346,0.111700059,PASSED,English,USA,Vincente Minnelli,1943,Musical,98,1926,Ethel Waters, Eddie 'Rochester' Anderson,8186,0.183850476,1.338690476,0.875426083,,7.3
Cabin in the woods,0.27169497,0.540937993,0.10632561,0.716917467,0.25977744,0.287371932,0.25160385,0.616776794,0.276028264,0.734138585,0.854415289,0.049314726,0.289848049,0.097930685,0.415711818,0.600973149,0.699261735,0.814990139,0.42293188,0.714863467,0.819956739,0.741184735,0.909370542,0.186018697,0.522647724,0.235595367,0.112742458,0.146973036,0.411968094,0.368022391,R,English,USA,Drew Goddard,2012,Fantasy,95,282329,Kristen Connolly, Chris Hemsworth,5500,0.267272727,1.32807309,0.867951381,,7
Cable Guy,0.425232442,0.548073541,0.067307335,0.661874609,0.354051644,0.356524873,0.199761646,0.693822616,0.303048105,0.504816166,0.924015765,0.063501583,0.481062781,0.113890137,0.573639274,0.63342543,0.834978887,0.913289127,0.679206483,0.762141281,0.611836382,0.863719518,0.698002713,0.112365517,0.192982405,0.280126461,0.236749505,0.130971919,0.738347472,0.095772007,PG-13,English,USA,Ben Stiller,1996,Comedy,96,123579,Jim Carrey, Matthew Broderick,5773,0.258444483,1.257654966,0.889791347,,6
Cadaver,0.517659495,0.650912171,0.351088535,0.296560292,0.564954565,0.535921438,0.671766454,0.498188002,0.173681189,0.765810143,0.940045786,0.277995081,0.832277888,0.416135397,0.264329254,0.990366364,0.608886917,0.90428151,0.930338275,0.853747845,0.669454734,0.256487159,0.956552711,0.363256473,0.585049776,0.578909407,0.254578114,0.330412029,0.217046891,0.519479405,N/A,English,USA,Jonah D. Ansell,2012,Animation,8,118,Christopher Lloyd, Tavi Gevinson,3067,0.279752201,1.123306233,0.912307828,,7.1
Caddyshack,0.31190771,0.39649859,0.069236438,0.747628168,0.413751193,0.525723527,0.300637141,0.617848128,0.382619297,0.446050049,0.839444743,0.029505466,0.365846761,0.064577175,0.628199607,0.624474605,0.852345525,0.607157013,0.571777079,0.812179773,0.731465592,0.871833133,0.859826817,0.16382312,0.287372414,0.192016749,0.255455944,0.225814752,0.627220351,0.173914908,R,English,USA,Harold Ramis,1980,Comedy,98,82745,Chevy Chase, Rodney Dangerfield,7420,0.247978437,1.420345489,0.890488044,,7.4
Caddyshack II,0.320206286,0.536200189,0.038314566,0.724237825,0.451642682,0.475497855,0.360117494,0.68374349,0.43824651,0.482061486,0.89399621,0.02941641,0.387983568,0.064993595,0.574864553,0.671093026,0.878373813,0.665327798,0.66321082,0.816117941,0.847893728,0.921565515,0.890367179,0.188121495,0.439567186,0.174214075,0.170243496,0.279788422,0.724818002,0.235768802,PG,English,USA,Allan Arkush,1988,Comedy,98,12504,Jackie Mason, Robert Stack,8799,0.22366178,1.413755459,0.897822656,,3.6
Cadillac Man,0.125235117,0.179972009,0.036893604,0.686369249,0.253190353,0.366463041,0.222527326,0.567235782,0.567965934,0.113128064,0.816800736,0.063630674,0.426319534,0.100880026,0.577306156,0.402298436,0.856499666,0.788578437,0.581953546,0.865112099,0.727094065,0.954523203,0.63548193,0.170391569,0.207886618,0.34390217,0.521745859,0.018033202,0.806399579,0.027618352,R,English,USA,Roger Donaldson,1990,Comedy,97,10835,Robin Williams, Tim Robbins,11311,0.150472991,1.257220921,0.884868049,,5.6
Cadillac Records,0.178642469,0.418104888,0.010279266,0.898338124,0.3543993,0.320418127,0.246433166,0.815039867,0.45263387,0.460498961,0.928789809,0.015894268,0.510215797,0.034064293,0.458811563,0.678520659,0.94156058,0.758405712,0.623331169,0.791497184,0.874479703,0.938443983,0.792868053,0.198083017,0.612110039,0.11179129,0.189095406,0.073228475,0.953145569,0.066649648,R,English,USA,Darnell Martin,2008,Biography,109,15567,Joshua Alscher, Tim Bellow,9002,0.167629416,1.244521912,0.875008871,,7
Caesar and Cleopatra,0.547217872,0.624286497,0.1681292,0.692079049,0.546871565,0.402641368,0.420018823,0.711132639,0.185903393,0.790740585,0.966003049,0.127076194,0.843632359,0.129498726,0.314338222,0.996228144,0.555867916,0.941421751,0.937082549,0.731883191,0.601871611,0.113909455,0.997051838,0.551685942,0.958182576,0.424925692,0.153727004,0.23025502,0.41584693,0.376626327,APPROVED,English,UK,Gabriel Pascal,1945,Biography,123,1834,Claude Rains, Vivien Leigh,15040,0.161103723,1.102339181,0.898491017,,6.4
Cafe Society,0.775431688,0.840772525,0.069487111,0.521912861,0.530180316,0.396004198,0.282915034,0.714963621,0.10915964,0.764934544,0.942426275,0.139036412,0.869677223,0.141953279,0.392461916,0.988307215,0.809511595,0.877826588,0.960242778,0.802531995,0.380952466,0.404586163,0.977637773,0.159584535,0.788834494,0.191334447,0.155318719,0.225786937,0.579882798,0.332839472,R,English,USA,Raymond De Felitta,1995,Drama,107,298,Frank Whaley, Peter Gallagher,9280,0.246982759,1.102859779,0.849482644,,5.6
Caffeine,0.323104975,0.459518803,0.185026039,0.362178084,0.200140553,0.174643207,0.117989361,0.362374897,0.302055944,0.375607262,0.870455909,0.193642045,0.623176077,0.281839211,0.788256653,0.751120811,0.593835641,0.945084017,0.744446033,0.695403881,0.49786171,0.774721539,0.747067085,0.102974376,0.231493017,0.542527576,0.369114662,0.060669861,0.487175267,0.243401559,R,English,USA,John Cosgrove,2006,Comedy,92,2373,Marsha Thomason, Mena Suvari,10105,0.169915883,1.072243346,0.882563857,,5.6
Caged,0.363512254,0.330735782,0.087285351,0.631391403,0.46124988,0.533150753,0.321547459,0.612708203,0.274330775,0.436356876,0.920678025,0.121976341,0.675127997,0.193395097,0.59994853,0.829598629,0.772509154,0.775222793,0.778419659,0.838722322,0.459988806,0.654595021,0.773570721,0.252367249,0.330087706,0.368582042,0.496202855,0.059728314,0.584099249,0.104476996,N/A,English,USA,John Cromwell,1950,Crime,96,2396,Eleanor Parker, Agnes Moorehead,7991,0.23326242,1.365304914,0.891812173,,7.8
Cahill,0.19748855,0.323613,0.094631777,0.751686487,0.246118558,0.289625077,0.14036914,0.413234715,0.325732245,0.400921144,0.881206925,0.06636964,0.530959285,0.098453224,0.525515438,0.782847031,0.700555401,0.862034405,0.612220996,0.739930458,0.5573212,0.765597032,0.800894889,0.215234104,0.37460988,0.460381825,0.304116323,0.028698627,0.641602491,0.070537393,PG,English,USA,Andrew V. McLaglen,1973,Drama,103,4382,John Wayne, George Kennedy,6176,0.222797927,1.313578395,0.873104621,,6.5
Cairo Time,0.654727937,0.894156794,0.101959272,0.48259999,0.44950314,0.227817354,0.451190539,0.67065978,0.182360881,0.728898712,0.922871473,0.292849867,0.869770402,0.383125729,0.316597276,0.97013956,0.86071987,0.93869083,0.946304592,0.562791944,0.758286005,0.629703353,0.808172892,0.13579958,0.816448546,0.288360065,0.332486167,0.45372086,0.753244232,0.284372863,PG,English,Canada,Ruba Nadda,2009,Drama,90,5208,Patricia Clarkson, Alexander Siddig,4416,0.247735507,1.523709168,0.896620059,,6.7
Cake,0.59372409,0.876255169,0.081900393,0.714355428,0.463518601,0.230957132,0.196527661,0.765048635,0.147667538,0.826413857,0.990046141,0.043650305,0.480760791,0.168123653,0.331752862,0.743977829,0.707044307,0.987605606,0.713224392,0.597030708,0.757267073,0.681109056,0.66050029,0.014980265,0.417452566,0.190850367,0.087898498,0.112181191,0.765266663,0.085038588,R,English,USA,Daniel Barnz,2014,Drama,102,27676,Jennifer Aniston, Adriana Barraza,5065,0.243237907,1.305457746,0.889857642,,6.4
Cake Eaters,0.533575041,0.862307554,0.027508117,0.816547904,0.462159198,0.215901401,0.27586935,0.865009288,0.229924378,0.807555219,0.990017467,0.022611866,0.550158963,0.107551388,0.353441004,0.65496599,0.90703725,0.988704382,0.757601155,0.664121625,0.881158866,0.92124838,0.583235087,0.020820894,0.501205297,0.131619008,0.056014233,0.170083724,0.89742741,0.044948766,R,English,USA,Mary Stuart Masterson,2007,Comedy,86,5942,Elizabeth Ashley, Jayce Bartok,4919,0.232974182,1.176417642,0.876357176,,6.4
Calamity Jane,0.088073058,0.117619126,0.368853589,0.492413358,0.159289333,0.523088984,0.22186176,0.159373264,0.591149147,0.10867488,0.468631082,0.45628718,0.67480691,0.454098919,0.527525767,0.947664077,0.514386733,0.46420808,0.643339777,0.718828381,0.51719258,0.519255792,0.791131622,0.781959409,0.607686839,0.698756449,0.932604452,0.043083967,0.395846049,0.266931861,APPROVED,English,USA,David Butler,1953,Comedy,101,6275,Doris Day, Howard Keel,6249,0.235237638,1.535433071,0.879381049,,7.3
Calendar Girls,0.501592099,0.718386449,0.076514491,0.516118535,0.509913013,0.476227598,0.634170142,0.624056697,0.295845837,0.594216624,0.854291464,0.211331761,0.794027129,0.211092048,0.274582814,0.905873278,0.938273298,0.707421545,0.878721212,0.770325368,0.697290752,0.857948908,0.744717174,0.331312825,0.625643466,0.237314166,0.322682178,0.535766506,0.81810372,0.30360728,PG-13,English,UK,Nigel Cole,2003,Comedy,108,19779,Helen Mirren, Julie Walters,11244,0.193258627,1.62751972,0.912560989,,6.9
California Solo,0.47073682,0.706082026,0.048351061,0.603923884,0.334449382,0.247146747,0.236671128,0.625159322,0.225226698,0.584991166,0.906985276,0.039593014,0.394839654,0.108768295,0.493729923,0.718778342,0.908083533,0.90764104,0.600112309,0.635753227,0.687444188,0.881743387,0.798740159,0.034782538,0.287244685,0.232242676,0.139813495,0.271634979,0.708210249,0.19606466,NOT RATED,English,USA,Marshall Lewy,2012,Drama,94,887,Robert Carlyle, Danny Masterson,8067,0.212718483,1.430225472,0.879410343,,6.2
Caligula,0.40520211,0.516833857,0.262214725,0.664050253,0.371641583,0.312723328,0.172473507,0.509247693,0.220830774,0.648564038,0.879468185,0.233238819,0.777785626,0.180379656,0.31898618,0.991258208,0.478027047,0.915901556,0.888602406,0.67158515,0.464097083,0.098313527,0.985903354,0.622005523,0.938323283,0.507156467,0.315399001,0.163387956,0.377238117,0.331392214,UNRATED,Italian,Italy,Tinto Brass,1979,Drama,156,27655,Malcolm McDowell, Teresa Ann Savoy,5591,0.232695403,1.680831826,0.870413751,,5.3
Call Girl,0.479341453,0.667758485,0.030725453,0.689660296,0.684154414,0.627589967,0.622270347,0.869718586,0.194093138,0.78020391,0.975387774,0.052403345,0.574295488,0.060340709,0.384211332,0.818523147,0.879748266,0.718761244,0.788774542,0.926136665,0.860647852,0.744583767,0.913157763,0.117701035,0.49009899,0.135981228,0.170128345,0.24916486,0.634013888,0.306390402,N/A,Swedish,Sweden,Mikael Marcimain,2012,Drama,140,3447,Sofia Karemyr, Simon J. Berger,6943,0.247011378,1.296560675,0.909424255,,6.5
Fight Club,0.308727843,0.463723694,0.317357434,0.292647386,0.397767343,0.365792587,0.330875003,0.328944698,0.454742612,0.345632853,0.866535913,0.236094104,0.734892521,0.344517433,0.652419283,0.885234407,0.5877175,0.765675386,0.698304402,0.57117486,0.82100224,0.476491343,0.967000432,0.504595947,0.699463715,0.64941844,0.268230615,0.188077076,0.49274224,0.730962723,R,English,USA,David Fincher,1999,Drama,139,1373233,Edward Norton, Brad Pitt,16788,0.156778651,0.970945083,0.92000248,,8.8
Illustrious Corpses,0.380544689,0.301542192,0.232697716,0.455842401,0.309285883,0.357170605,0.220754444,0.248190287,0.12992061,0.641512401,0.678345096,0.18692679,0.521407971,0.0974731,0.392990389,0.991282897,0.429172303,0.565776951,0.758401018,0.855320684,0.312873068,0.173241449,0.990709376,0.401538724,0.476704037,0.574526896,0.353184417,0.165912707,0.06538307,0.475880421,PG,Italian,Italy,Francesco Rosi,1976,Crime,120,1297,Lino Ventura, Tino Carraro,5060,0.292885375,1.346478873,0.904817361,,7.5
Julius Caesar,0.639614388,0.390963341,0.698873147,0.541288078,0.634631944,0.706618082,0.360454586,0.286000114,0.464250878,0.691462299,0.49846855,0.595785977,0.905478716,0.318668821,0.155985546,0.996671356,0.27604693,0.791354639,0.964930522,0.731007104,0.280237989,0.02840935,0.971850839,0.849995435,0.961197703,0.816065829,0.487573985,0.629718028,0.06546726,0.791900947,NOT RATED,English,USA,Joseph L. Mankiewicz,1953,Drama,120,7986,Marlon Brando, James Mason,2584,0.33630031,2.204379562,0.953896734,,7.4
Star Wars: Episode V - The Empire Strikes Back,0.482654101,0.667687694,0.415324112,0.473080085,0.422427689,0.265598502,0.312365673,0.468544152,0.303005181,0.69620486,0.964867154,0.076486734,0.498390985,0.232837424,0.213741979,0.865053902,0.236319736,0.91092786,0.555553814,0.411965406,0.905386704,0.092342595,0.991178658,0.569108707,0.799772682,0.667209266,0.135467157,0.199090003,0.387604276,0.366293884,PG,English,USA,Irvin Kershner,1980,Action,124,848787,Mark Hamill, Harrison Ford,9998,0.157731546,0.820285574,0.901138138,,8.8
